Card Name,Franchise
Transformed Chef - Castle Stove,Beauty and the Beast
Belle - Strange but Special,Beauty and the Beast
Belle - Accomplished Mystic,Beauty and the Beast
Beast - Wolfsbane,Beauty and the Beast
Beast - Tragic Hero,Beauty and the Beast
Grab Your Sword,Beauty and the Beast
Gaston - Intellectual Powerhouse,Beauty and the Beast
Beast - Selfless Protector,Beauty and the Beast
Gaston - Pure Paragon,Beauty and the Beast
The Mob Song,Beauty and the Beast
Lumiere - Hotheaded Candelabra,Beauty and the Beast
Maurice - World-Famous Inventor,Beauty and the Beast
Beast - Relentless,Beauty and the Beast
Beast - Hardheaded,Beauty and the Beast
Cogsworth - Grandfather Clock,Beauty and the Beast
Belle - Hidden Archer,Beauty and the Beast
Beast - Forbidding Recluse,Beauty and the Beast
Four Dozen Eggs,Beauty and the Beast
Belle - Of the Ball,Beauty and the Beast
Cogsworth - Majordomo,Beauty and the Beast
Beast - Thick-Skinned,Beauty and the Beast
Belle - Inventive Engineer,Beauty and the Beast
Beast - Wounded,Beauty and the Beast
The Beast is Mine!,Beauty and the Beast
The Wardrobe - Belle's Confidant,Beauty and the Beast
The Library - A Gift for Belle,Beauty and the Beast
Gaston - Despicable Dealer,Beauty and the Beast
Break,Beauty and the Beast
Ever as Before,Beauty and the Beast
Gaston - Arrogant Hunter,Beauty and the Beast
Gaston - Scheming Suitor,Beauty and the Beast
Rose Lantern,Beauty and the Beast
Magical Maid - Feather Duster,Beauty and the Beast
LeFou - Bumbler,Beauty and the Beast
Nothing to Hide,Beauty and the Beast
Glean,Beauty and the Beast
Chip the Teacup - Gentle Soul,Beauty and the Beast
Control Your Temper!,Beauty and the Beast
Thievery,Aladdin
Jasmine - Heir of Agrabah,Aladdin
Hypnotic Strength,Aladdin
The Lamp,Aladdin
Genie - The Ever Impressive,Aladdin
Aladdin - Fearless Navigator,Aladdin
Genie - Cramped in the Lamp,Aladdin
Razoul - Palace Guard,Aladdin
Aladdin - Cornered Swordsman,Aladdin
Magic Carpet - Amazing Flier,Aladdin
Iago - Pretty Polly,Aladdin
Jasmine - Royal Seafarer,Aladdin
Jasmine - Rebellious Princess,Aladdin
Agrabah - Marketplace,Aladdin
Aladdin - Street Rat,Aladdin
Aladdin - Brave Rescuer,Aladdin
Genie - Wish Fulfilled,Aladdin
Treasure Guardian - Protector of the Cave,Aladdin
Jafar - Wicked Sorcerer,Aladdin
Aladdin - Intrepid Commander,Aladdin
Jafar - Dreadnought,Aladdin
Finders Keepers,Aladdin
Abu - Bold Helmsman,Aladdin
Jasmine - Queen of Agrabah,Aladdin
A Whole New World,Aladdin
Jasmine - Royal Commodore,Aladdin
Jafar - Tyrannical Hypnotist,Aladdin
Genie - Main Attraction,Aladdin
Bend To My Will,Aladdin
Aladdin - Heroic Outlaw,Aladdin
Genie - Powers Unleashed,Aladdin
Energy Blast,Aladdin
Jafar - Striking Illusionist,Aladdin
Genie - Wonderful Trickster,Aladdin
Genie - On the Job,Aladdin
Blast From Your Past,Aladdin
Jafar - Power-Hungry Vizier,Aladdin
Friend Like Me,Aladdin
Jasmine - Desert Warrior,Aladdin
Seeking the Half Crown,Aladdin
Rajah - Royal Protector,Aladdin
Iago - Fake Flamingo,Aladdin
Jafar - Keeper of Secrets,Aladdin
